Iteration, Residual
1, 7.6909151
2, 5.8139437
3, 4.5501242
4, 3.3914423
5, 3.1243795
6, 2.4433804
7, 2.3309444
8, 1.9169945
9, 1.8449726
10, 1.5765825
11, 1.5206908
12, 1.3367270
13, 1.2899036
14, 1.1580529
15, 1.1175521
16, 1.0195959
17, 0.9840137
18, 0.9090702
19, 0.8775182
20, 0.8187634
21, 0.7905996
22, 0.7435761
23, 0.7183016
24, 0.6799956
25, 0.6572082
26, 0.6255214
27, 0.6048896
28, 0.5783236
29, 0.5595709
30, 0.5370318
31, 0.5199255
32, 0.5005994
33, 0.4849424
34, 0.4682129
35, 0.4538372
36, 0.4392306
37, 0.4259923
38, 0.4131393
39, 0.4009145
40, 0.3895241
41, 0.3782056
42, 0.3680452
43, 0.3575402
44, 0.3484225
45, 0.3386497
46, 0.3304223
47, 0.3213108
48, 0.3138487
49, 0.3053360
50, 0.2985359
51, 0.2905670
52, 0.2843425
53, 0.2768688
54, 0.2711476
55, 0.2641259
56, 0.2588470
57, 0.2522388
58, 0.2473503
59, 0.2411212
60, 0.2365788
61, 0.2306981
62, 0.2264638
63, 0.2209039
64, 0.2169449
65, 0.2116808
66, 0.2079686
67, 0.2029780
68, 0.1994878
69, 0.1947503
70, 0.1914605
71, 0.1869577
72, 0.1838494
73, 0.1795645
74, 0.1766208
75, 0.1725386
76, 0.1697447
77, 0.1658514
78, 0.1631942
79, 0.1594770
80, 0.1569448
81, 0.1533920
82, 0.1509744
83, 0.1475753
84, 0.1452629
85, 0.1420075
86, 0.1397909
87, 0.1366670
88, 0.1345303
89, 0.1315112
90, 0.1294244
91, 0.1264918
92, 0.1245123
93, 0.1218200
94, 0.1201266
95, 0.1176148
96, 0.1157173
97, 0.1129444
98, 0.1111747
99, 0.1089969
100, 0.1074581
101, 0.1048858
102, 0.1031920
103, 0.1012369
104, 0.0997484
105, 0.0973343
106, 0.0959687
107, 0.0941496
108, 0.0925033
109, 0.0904932
110, 0.0894135
111, 0.0873547
112, 0.0859521
113, 0.0844147
114, 0.0829941
115, 0.0811817
116, 0.0802273
117, 0.0783582
118, 0.0771998
119, 0.0757942
120, 0.0744360
121, 0.0730209
122, 0.0720144
123, 0.0703297
124, 0.0695071
