Iteration, Residual
1, 1.2869205
2, 0.7456532
3, 0.5202662
4, 0.3829918
5, 0.3196784
6, 0.2675835
7, 0.2237856
8, 0.1949566
9, 0.1803984
10, 0.1759219
11, 0.1771190
12, 0.1805157
13, 0.1838176
14, 0.1857875
15, 0.1859772
16, 0.1844369
17, 0.1814686
18, 0.1774568
19, 0.1727724
20, 0.1677306
21, 0.1625810
22, 0.1575123
23, 0.1526638
24, 0.1481359
25, 0.1439994
26, 0.1403031
27, 0.1370786
28, 0.1343442
29, 0.1321072
30, 0.1303659
31, 0.1291101
32, 0.1283227
33, 0.1279800
34, 0.1280527
35, 0.1285066
36, 0.1293037
37, 0.1304028
38, 0.1317610
39, 0.1333339
40, 0.1350773
41, 0.1369471
42, 0.1389008
43, 0.1408976
44, 0.1428991
45, 0.1448696
46, 0.1467765
47, 0.1485908
48, 0.1502867
49, 0.1518424
50, 0.1532396
51, 0.1544636
52, 0.1555035
53, 0.1563518
54, 0.1570043
55, 0.1574596
56, 0.1577194
57, 0.1577875
58, 0.1576703
59, 0.1573756
60, 0.1569131
61, 0.1562934
62, 0.1555282
63, 0.1546298
64, 0.1536109
65, 0.1524845
66, 0.1512635
67, 0.1499605
68, 0.1485879
69, 0.1471578
70, 0.1456815
71, 0.1441701
72, 0.1426336
73, 0.1410819
74, 0.1395237
75, 0.1379675
76, 0.1364209
77, 0.1348909
78, 0.1333838
79, 0.1319055
80, 0.1304613
81, 0.1290559
82, 0.1276935
83, 0.1263779
84, 0.1251125
85, 0.1239002
86, 0.1227437
87, 0.1216451
88, 0.1206064
89, 0.1196292
90, 0.1187149
91, 0.1178646
92, 0.1170791
93, 0.1163590
94, 0.1157049
95, 0.1151168
96, 0.1145949
97, 0.1141389
98, 0.1137486
99, 0.1134235
100, 0.1131629
101, 0.1129660
102, 0.1128320
103, 0.1127599
104, 0.1127483
105, 0.1127960
106, 0.1129017
107, 0.1130638
108, 0.1132807
109, 0.1135507
110, 0.1138721
111, 0.1142429
112, 0.1146613
113, 0.1151253
114, 0.1156328
115, 0.1161817
116, 0.1167700
117, 0.1173955
118, 0.1180559
119, 0.1187490
120, 0.1194726
121, 0.1202246
122, 0.1210025
123, 0.1218042
124, 0.1226274
125, 0.1234699
126, 0.1243294
127, 0.1252038
128, 0.1260908
129, 0.1269883
130, 0.1278942
131, 0.1288063
132, 0.1297226
133, 0.1306411
134, 0.1315598
135, 0.1324767
136, 0.1333900
137, 0.1342978
138, 0.1351984
139, 0.1360900
140, 0.1369709
141, 0.1378395
142, 0.1386943
143, 0.1395338
144, 0.1403565
145, 0.1411612
146, 0.1419464
147, 0.1427110
148, 0.1434539
149, 0.1441739
150, 0.1448700
151, 0.1455413
152, 0.1461869
153, 0.1468061
154, 0.1473980
155, 0.1479620
156, 0.1484976
157, 0.1490042
158, 0.1494814
159, 0.1499288
160, 0.1503460
161, 0.1507329
162, 0.1510892
163, 0.1514149
164, 0.1517098
165, 0.1519740
166, 0.1522074
167, 0.1524104
168, 0.1525829
169, 0.1527252
